DRM+VQC,Perf. Rank (of 112),f1_pm,F1_CI_95%,F1_CI_width,auc_pm,AUC_CI_95%,AUC_CI_width,tpr_pm,fpr_pm,sigma_epi_mean,entropy_mean,ece,deploy_coverage
XGB_PCA4+VQC(Amplitude_Embedding+Real_Amplitude_like),82,0.8651 ± 0.0032,"[0.8580, 0.8713]",0.0133,0.8139 ± 0.0115,"[0.7936, 0.8357]",0.042,0.9798 ± 0.0036,0.7858 ± 0.0177,0.0157046209836667,0.998652225774266,0.2544809473807613,0.125
Autoencoder+VQC(IQP_style_encoding+strongly_entangling),17,0.8628 ± 0.0071,"[0.8482, 0.8748]",0.0265,0.9925 ± 0.0019,"[0.9886, 0.9955]",0.0069,0.7599 ± 0.0110,0.0040 ± 0.0025,0.0125761263762661,0.998750189381198,0.4176458431795239,0.871
PCA4+VQC(RX_Angle_Encoding+custom_ansatz_1),71,0.8624 ± 0.0027,"[0.8575, 0.8681]",0.0106,0.8671 ± 0.0100,"[0.8465, 0.8837]",0.0372,0.9878 ± 0.0028,0.8342 ± 0.0168,0.025036488099857,0.9984193172653826,0.2892639354770382,0.002
PCA4+VQC(RX_Angle_Encoding+Real_Amplitude_like),65,0.8622 ± 0.0027,"[0.8568, 0.8672]",0.0104,0.8609 ± 0.0102,"[0.8399, 0.8774]",0.0375,0.9875 ± 0.0029,0.8340 ± 0.0171,0.0161903847007769,0.9987672879808912,0.3342735217104356,0.002
XGB_PCA4+VQC(RY_Angle_Encoding+custom_ansatz_1),87,0.8599 ± 0.0025,"[0.8548, 0.8642]",0.0094,0.5773 ± 0.0149,"[0.5518, 0.6086]",0.0568,0.9908 ± 0.0027,0.8633 ± 0.0155,0.0205225316712456,0.9920933375630157,0.2163855908177792,0.213
XGB_PCA4+VQC(RY_Angle_Encoding+EfficientSU2_like),44,0.8597 ± 0.0025,"[0.8547, 0.8642]",0.0095,0.9861 ± 0.0031,"[0.9802, 0.9921]",0.012,0.9904 ± 0.0027,0.8633 ± 0.0155,0.0299345478885271,0.9963484242381404,0.2457437381699681,0.7975
ICA4+VQC(RY_Angle_Encoding+custom_ansatz_1),81,0.8569 ± 0.0019,"[0.8531, 0.8605]",0.0074,0.6232 ± 0.0165,"[0.5921, 0.6590]",0.0669,0.9966 ± 0.0016,0.9065 ± 0.0123,0.0098312030726394,0.9893760256775422,0.2442344802488884,0.001
XGB_PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),41,0.8537 ± 0.0013,"[0.8512, 0.8564]",0.0051,0.9531 ± 0.0041,"[0.9455, 0.9605]",0.015,0.9991 ± 0.0008,0.9398 ± 0.0095,0.0412412332731392,0.992671120419598,0.2674820062682033,0.439
PCA4+VQC(RY_Angle_Encoding+Real_Amplitude_like),60,0.8528 ± 0.0017,"[0.8498, 0.8562]",0.0064,0.8879 ± 0.0092,"[0.8706, 0.9034]",0.0328,0.9954 ± 0.0016,0.9329 ± 0.0105,0.0397849256358624,0.997692879833099,0.3164295793667435,0.003
XGB_PCA4+VQC(RX_Angle_Encoding+strongly_entangling),83,0.8517 ± 0.0058,"[0.8412, 0.8636]",0.0223,0.7463 ± 0.0158,"[0.7160, 0.7754]",0.0595,0.8752 ± 0.0083,0.4952 ± 0.0218,0.0047700576178564,0.9986955862194123,0.2697522476439674,0.0525
PCA4+VQC(IQP_style_encoding+strongly_entangling),63,0.8465 ± 0.0002,"[0.8463, 0.8470]",0.0007,0.8174 ± 0.0123,"[0.7962, 0.8436]",0.0474,1.0000 ± 0.0000,0.9984 ± 0.0018,0.0178255974230162,0.9980912160121446,0.2554053544367353,0.0
PCA4+VQC(IQP_style_encoding+custom_ansatz_1),68,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9115 ± 0.0060,"[0.8998, 0.9224]",0.0226,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0175262416434453,0.998000538338136,0.2300849885528286,0.5905
PCA4+VQC(ZZ_Feature_Map_style+custom_ansatz_1),66,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9017 ± 0.0070,"[0.8871, 0.9151]",0.028,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0371109734965044,0.989185768260874,0.3051767612919212,0.5715
XGB_PCA4+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),34,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9614 ± 0.0039,"[0.9541, 0.9690]",0.0149,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0345748841376476,0.9991199008737676,0.3087319134304921,0.462
ICA4+VQC(ZZ_Feature_Map_style+strongly_entangling),46,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9194 ± 0.0056,"[0.9088, 0.9293]",0.0205,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0148637101898984,0.9979786128230244,0.3412764717976252,0.003
XGB_PCA4+VQC(IQP_style_encoding+strongly_entangling),42,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9891 ± 0.0025,"[0.9839, 0.9940]",0.0101,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0124081367176175,0.9998702178535346,0.2398723879079024,0.0025
PCA4+VQC(ZZ_Feature_Map_style+strongly_entangling),45,0.8463 ± 0.0000,"[0.8463, 0.8463]",0.0,0.9242 ± 0.0059,"[0.9128, 0.9345]",0.0217,1.0000 ± 0.0000,1.0000 ± 0.0000,0.0102088517201629,0.9997682107256168,0.3060374338472882,0.0005
PCA4+VQC(ZZ_Feature_Map_style+EfficientSU2_like),56,0.8462 ± 0.0001,"[0.8459, 0.8463]",0.0003,0.8913 ± 0.0071,"[0.8771, 0.9045]",0.0273,0.9999 ± 0.0003,1.0000 ± 0.0000,0.0265936443581683,0.9452875359740188,0.2464789593597252,0.0
XGB_PCA4+VQC(IQP_style_encoding+EfficientSU2_like),49,0.8461 ± 0.0003,"[0.8453, 0.8463]",0.001,0.8842 ± 0.0077,"[0.8693, 0.8991]",0.0297,0.9996 ± 0.0005,1.0000 ± 0.0000,0.0482548946343595,0.9957493923060156,0.2726961905126769,0.3215
PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),51,0.8460 ± 0.0003,"[0.8453, 0.8463]",0.001,0.9138 ± 0.0061,"[0.9020, 0.9250]",0.023,0.9994 ± 0.0006,1.0000 ± 0.0000,0.0304401845340611,0.9898485677572064,0.2845759856631358,0.0
XGB_PCA4+VQC(Custom_H_RY_RZ+custom_ansatz_1),38,0.8453 ± 0.0006,"[0.8439, 0.8463]",0.0023,0.9404 ± 0.0047,"[0.9310, 0.9502]",0.0192,0.9980 ± 0.0013,1.0000 ± 0.0000,0.0173673540573965,0.998741811543328,0.2481620827128489,0.0
XGB_PCA4+VQC(IQP_style_encoding+custom_ansatz_1),64,0.8450 ± 0.0007,"[0.8436, 0.8459]",0.0023,0.9100 ± 0.0065,"[0.8969, 0.9221]",0.0252,0.9975 ± 0.0014,1.0000 ± 0.0000,0.0067514288346138,0.9993183708160028,0.2396554836735129,0.0
XGB_PCA4+VQC(Custom_H_RY_RZ+strongly_entangling),59,0.8446 ± 0.0008,"[0.8429, 0.8459]",0.003,0.9916 ± 0.0025,"[0.9863, 0.9964]",0.0101,0.9966 ± 0.0016,1.0000 ± 0.0000,0.021079090800054,0.9859745733225372,0.3405557544233898,0.0
XGB_PCA4+VQC(Custom_H_RY_RZ+EfficientSU2_like),79,0.8353 ± 0.0065,"[0.8223, 0.8468]",0.0245,0.8320 ± 0.0095,"[0.8130, 0.8498]",0.0368,0.8231 ± 0.0096,0.4066 ± 0.0214,0.0176855031938567,0.9952914619766976,0.2653885787511866,0.4455
Autoencoder+VQC(ZZ_Feature_Map_style+Real_Amplitude_like),20,0.7296 ± 0.0102,"[0.7087, 0.7490]",0.0403,0.9533 ± 0.0060,"[0.9414, 0.9654]",0.024,0.5835 ± 0.0127,0.0435 ± 0.0089,0.0231865087792511,0.992282015483733,0.3974201949740449,0.6015
XGB_PCA4+VQC(RY_Angle_Encoding+strongly_entangling),85,0.0106 ± 0.0039,"[0.0041, 0.0189]",0.0148,0.0233 ± 0.0033,"[0.0171, 0.0299]",0.0129,0.0053 ± 0.0020,0.0000 ± 0.0000,0.0062332912040456,0.9595170380589736,0.3837462852264443,0.0035
