feature_set,train_size,ansatz,encoding,accuracy,f1,auc,precision,recall,TPR,FPR,TP,TN,FP,FN,threshold,best_epoch,validation_accuracy,validation_f1,validation_auc
xgb_pca4,5000,strongly_entangling,IQP_style_encoding,0.88,0.9282296650717704,0.785915625,0.8899082568807339,0.97,0.97,0.48,1552,208,192,48,0.2099999999999999,1,0.893,0.9356584485868912,0.8141562499999999
pca4,5000,custom_ansatz_1,amplitude_embedding,0.8785,0.9245575908103072,0.64938125,0.918568784700802,0.930625,0.930625,0.33,1489,268,132,111,0.4599999999999999,20,0.882,0.9266169154228856,0.6703937499999999
autoencoder,5000,EfficientSU2_like,ry_embedding,0.8765,0.9233157404532754,0.67349375,0.9173349784083898,0.929375,0.929375,0.335,1487,266,134,113,0.5349999999999999,19,0.88,0.9253731343283582,0.6886343749999999
autoencoder,5000,EfficientSU2_like,rx_embedding,0.876,0.9230291744258224,0.6688578125000001,0.9167694204685574,0.929375,0.929375,0.3375,1487,265,135,113,0.5449999999999999,20,0.88,0.9253731343283582,0.679675
autoencoder,5000,strongly_entangling,rx_embedding,0.87,0.92294013040901,0.6881640625,0.8776775648252536,0.973125,0.973125,0.5425,1557,183,217,43,0.4649999999999999,20,0.881,0.9292088042831648,0.70734375
autoencoder,5000,strongly_entangling,ry_embedding,0.87,0.9209245742092458,0.6520453125,0.8969194312796208,0.94625,0.94625,0.435,1514,226,174,86,0.5299999999999999,14,0.879,0.9259032455603184,0.67995
autoencoder,5000,custom_ansatz_1,amplitude_embedding,0.863,0.9209463358338142,0.394915625,0.8553054662379421,0.9975,0.9975,0.675,1596,130,270,4,0.4949999999999999,20,0.854,0.9161882893226176,0.3492062499999999
autoencoder,5000,EfficientSU2_like,amplitude_embedding,0.8615,0.9201498991063708,0.41618203125,0.8539325842696629,0.9975,0.9975,0.6825,1596,127,273,4,0.4699999999999999,20,0.859,0.918825561312608,0.37856875
autoencoder,5000,strongly_entangling,amplitude_embedding,0.854,0.9150668993600932,0.44742421875,0.8558215451577802,0.983125,0.983125,0.6625,1573,135,265,27,0.4999999999999999,4,0.841,0.9082515868436236,0.3720593749999999
autoencoder,5000,Real_Amplitude_like,amplitude_embedding,0.8535,0.9159253945480632,0.3456890625,0.846684350132626,0.9975,0.9975,0.7225,1596,111,289,4,0.4799999999999999,18,0.851,0.9146131805157592,0.30791875
xgb_pca4,5000,EfficientSU2_like,ry_embedding,0.852,0.915186246418338,0.327271875,0.8449735449735449,0.998125,0.998125,0.7325,1597,107,293,3,0.3899999999999999,18,0.848,0.9130434782608696,0.30251875
pca4,5000,Real_Amplitude_like,rx_embedding,0.8515,0.914924090518476,0.88335703125,0.8445267054468535,0.998125,0.998125,0.735,1597,106,294,3,0.4899999999999999,19,0.849,0.9135661133371494,0.8875343750000001
xgb_pca4,5000,Real_Amplitude_like,ry_embedding,0.8515,0.9148264984227128,0.3316187500000001,0.84525702172761,0.996875,0.996875,0.73,1595,108,292,5,0.3999999999999999,5,0.842,0.9096109839816934,0.30165625
pca4,5000,Real_Amplitude_like,amplitude_embedding,0.851,0.909035409035409,0.619546875,0.8884248210023866,0.930625,0.930625,0.4675,1489,213,187,111,0.4599999999999999,5,0.865,0.916923076923077,0.65236875
xgb_pca4,5000,Real_Amplitude_like,rx_embedding,0.851,0.9146620847651776,0.3335937499999999,0.8440803382663847,0.998125,0.998125,0.7375,1597,105,295,3,0.4249999999999999,15,0.846,0.912,0.30356875
xgb_pca4,5000,custom_ansatz_1,ry_embedding,0.851,0.9145642201834864,0.3310671874999999,0.8448093220338984,0.996875,0.996875,0.7325,1595,107,293,5,0.3849999999999999,6,0.842,0.9096109839816934,0.301725
pca4,5000,EfficientSU2_like,ry_embedding,0.8015,0.8896302474284126,0.42001171875,0.801201802704056,1.0,1.0,0.9925,1600,3,397,0,0.3799999999999999,1,0.803,0.8903728436282693,0.46681875
pca4,5000,EfficientSU2_like,amplitude_embedding,0.801,0.8893829905503057,0.5996023437500001,0.8008008008008008,1.0,1.0,0.995,1600,2,398,0,0.3849999999999999,4,0.802,0.8898776418242491,0.6404375
pca4,5000,EfficientSU2_like,rx_embedding,0.801,0.889321468298109,0.1095585937499999,0.8011022044088176,0.999375,0.999375,0.9925,1599,3,397,1,0.4699999999999999,1,0.803,0.8903728436282693,0.11473125
xgb_pca4,5000,EfficientSU2_like,rx_embedding,0.8005,0.8891358710752987,0.24633125,0.80040020010005,1.0,1.0,0.9975,1600,1,399,0,0.3349999999999999,17,0.802,0.8898776418242491,0.22149375
autoencoder,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.52001875,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.531975
autoencoder,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.50423359375,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.5118343750000001
autoencoder,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.49844140625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.5074875
autoencoder,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.49739375,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5068437499999999
ica4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.4966929687499999,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.5260624999999999
xgb_pca4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.4949203125,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.503859375
ica4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.4876890625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.4997749999999999
xgb_pca4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.486365625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.4986531250000001
ica4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.48612265625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.4766468749999999
pca4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.48534921875,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.486884375
ica4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.48415625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.480040625
pca4,5000,EfficientSU2_like,rz_embedding,0.8,0.8888888888888888,0.48414375,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,7,0.8,0.8888888888888888,0.4825
xgb_pca4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.48227265625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.51295625
pca4,5000,Real_Amplitude_like,rz_embedding,0.8,0.8888888888888888,0.48154921875,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,6,0.8,0.8888888888888888,0.4864312500000001
xgb_pca4,5000,strongly_entangling,rz_embedding,0.8,0.8888888888888888,0.4791953124999999,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.50843125
pca4,5000,custom_ansatz_1,rz_embedding,0.8,0.8888888888888888,0.4703234374999999,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,8,0.8,0.8888888888888888,0.4564249999999999
pca4,5000,strongly_entangling,amplitude_embedding,0.8,0.8888888888888888,0.407309375,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,12,0.8,0.8888888888888888,0.4327625
xgb_pca4,5000,strongly_entangling,ry_embedding,0.8,0.8888888888888888,0.2958140625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.26858125
xgb_pca4,5000,custom_ansatz_1,rx_embedding,0.8,0.8888888888888888,0.2953765625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.26639375
xgb_pca4,5000,strongly_entangling,rx_embedding,0.8,0.8888888888888888,0.2948765625,0.8,1.0,1.0,1.0,1600,0,400,0,0.05,1,0.8,0.8888888888888888,0.26899375
ica4,5000,EfficientSU2_like,amplitude_embedding,0.7995,0.8885801611558767,0.2177765625,0.7998999499749875,0.999375,0.999375,1.0,1599,0,400,1,0.4049999999999999,3,0.802,0.8898776418242491,0.201975
