feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
xgb_pca4,5000,efficient_su2_like,custom_h_ry_rz,0.04994209029152363,24,21.5,2,0.01696779098496564,0.0009227339344082217,0.991404252334149,0.01802794628684707,0.07669999999999999,0.3837594968860348,0.0025
xgb_pca4,5000,strongly_entangling,custom_h_ry_rz,0.03475484573185129,24,18.1,2,0.013131340233511696,0.0012361995803032827,0.9874324963165497,0.013818448383488231,0.0465,0.36786129612078267,0.0
autoencoder,5000,strongly_entangling,custom_h_ry_rz,0.07053226695620392,24,16.3,3,0.0214735712577398,0.00261911114705733,0.9824201901182454,0.01236000152885506,0.17504999999999996,0.4219221863801281,0.0
autoencoder,5000,efficient_su2_like,iqp_embedding,0.06335781571630703,24,23.7,3,0.032210652655110306,0.002572585939519103,0.9794909626880235,0.01802030513972846,0.04975,0.3304795351187388,0.0035
autoencoder,5000,custom_ansatz_1,iqp_embedding,0.06328858968445222,16,21.1,0,0.02965188013811782,0.006254472059435139,0.9576504563882072,0.032802046700018773,0.03276666666666666,0.2980972960370281,0.023
pca4,5000,real_amplitudes,iqp_embedding,0.055158194961092234,12,21.5,3,0.019659303706413375,0.0010444490710922595,0.9988082753809528,0.0006186964959869987,0.31951666666666667,0.38505849929352604,0.0005
pca4,5000,strongly_entangling,iqp_embedding,0.06173222795230784,24,23.6,2,0.013255456001610998,0.0012927903356564382,0.9850411691413021,0.011013708700005115,0.0338,0.3378521128118037,0.0005
pca4,5000,custom_ansatz_1,ry_embedding,0.02268381015592147,16,14.4,3,0.00570605451973816,0.00024729280231889375,0.9981158319854836,0.006195070091065976,0.04973333333333334,0.3832613191336393,0.783
ica4,5000,real_amplitudes,zz_feature_map,0.07602940231014542,12,22.1,2,0.01855426375837607,0.007793016705057272,0.9638273790972703,0.01892154020486704,0.040866666666666676,0.29832752068986484,0.856
pca4,5000,custom_ansatz_1,iqp_embedding,0.04473018688550639,16,23.3,2,0.003962696115868494,0.0011070140969062412,0.9995354623646294,0.000858533954858735,9.999999999999998e-05,0.31020437880307444,0.0
